Escolas_Postos,BAIRRO,ENDEREÇO ,lat,long
EM ALFREDO CESARIO ALVIM,CAMPO GRANDE,"Rua Rio da Prata, R. Luísa Marilac, 20",-22.923154,-43.518773
EM ANTÔNIA VARGAS CUQUEJO,COSMOS,"Praça Dercides Alves dos Santos, S/Nº - Cosmos",-22.892077,-43.610765
EM CORA CORALINA,CAMPO GRANDE,Rua Votorantim S/N kM 10 Mendanha,-22.858781,-43.537047
E.M FERNANDO COSTA,CAMPO GRANDE,"Rua José Albano, S/Nº",-22.89036,-43.593991
EM HELTON ALVARES VELOSO DE CASTRO,SANTÍSSIMO,"Rua Projetada A, s/n - Vila Romana",-22.875772,-43.514892
EM PROF. MAFALDA TEIXEIRA DE ALVARENGA,CAMPO GRANDE,"Rua José Francisco de Souza Pórto, S/N",-22.909177,-43.535676
EM PROFESSOR FÁBIO CÉSAR PACÍFICO,COSMOS,"R. do Pavão, S/N",-22.855098,-43.5315
EM PROFESSOR MANOEL SAID ALI,CAMPO GRANDE,Estrada Guandu do Sape S/Nº,-22.87566,-43.560256
E.M PROFESSOR PAULO SILVA,INHOAÍBA,Rua Jairo Correa s/nº,-22.908586,-43.584735
EM ROSARIA TROTTA,CAMPO GRANDE,"Pça. Rosária Trotta, S/N",-22.901568,-43.548975
EM SANTA ISABEL,INHOAÍBA,"Av. Cesário de Melo, 5580",-22.910672,-43.585641
EM JESUS SOARES PEREIRA,CAMPO GRANDE,R. Consolação 138,-22.919593,-43.546838
EM VENEZUELA,CAMPO GRANDE,"R. Amaral Costa, 37",-22.906254,-43.56074
CIEP ISMAEL NERY,SANTA CRUZ,Avenida Cesário de Melo S/N°,-22.934157,-43.66213
CIEP MAJOR MANUEL GOMES ARCHER,PACIENCIA,Rua Cabo Saulo de Vasconcelos S/N.º,-22.888549,-43.638052
EM ANDRE VIDAL DE NEGREIROS,SANTA CRUZ,Rua Felipe Cardoso 750,-22.92139,-43.68058
EM DOUTOR JOSE ANTÔNIO CIRAUDO,PACIENCIA,Estrada Da Paciência S/N°,-22.913933,-43.629766
EM FERNANDO AZEVEDO,SANTA CRUZ,Rua das Palmeiras Imperiais S/Nº,-22.923065,-43.692332
